Document,Name,Tag,Year,NER,Date
30_2004,Gwen Ifill,PERSON,2004.0,Ohio,05 Oct 2004
30_2004,Gwen Ifill,PERSON,2004.0,Iraq,05 Oct 2004
30_2004,Gwen Ifill,PERSON,2004.0,Coalition Provisional Authority,05 Oct 2004
30_2004,Gwen Ifill,PERSON,2004.0,Al Qaida,05 Oct 2004
30_2004,Gwen Ifill,PERSON,2004.0,a week ago,05 Oct 2004
30_2004,Gwen Ifill,PERSON,2004.0,Abu Musab al-Zarqawi,05 Oct 2004
,Gwen Ifill,ORGANIZATION,2004.0,Gwen Ifill,05 Oct 2004
,Gwen Ifill,ORGANIZATION,2004.0,Washington Week,05 Oct 2004
,Gwen Ifill,ORGANIZATION,2004.0,Paul Bremer,05 Oct 2004
,Gwen Ifill,ORGANIZATION,2004.0,Donald Rumsfeld,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,Veale Center,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,Cheney,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,Cleveland,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Iraq,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,years,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Al Qaida,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,Gwen,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,suicide,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,George Tenet,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,director,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Abu Nidal,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,this tonight,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,10-year,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,John McCain,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Richard Lugar,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Iraq,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,June,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Chuck Hagel,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Case Western,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Iraq,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,90 days,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,Iraq,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,September 11th,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Al Qaida,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,secretary of state,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,yesterday,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Saddam Hussein,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Al Qaida,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Afghanistan,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Saddam,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,a few weeks,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,9/11,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,Osama bin Laden,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Mountain Division,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Osama bin Laden,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Afghanistan,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,terrorist attack,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Osama bin Laden,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Iraq,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Iraqi,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,the 1970s,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Gwen,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,U.S.,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,night,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,9/11,05 Oct 2004
30_2004,Gwen Ifill,PERSON,2004.0,Afghanistan,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Gwen,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Al Qaida,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Afghanistan,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,Afghanistan,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,Taliban,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Afghanistan,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,six months,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,next December,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,two and a half years ago,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Afghan,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,democracy,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,Osama bin Laden,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,John Kerry,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,John Edwards,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,a minute ago,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Afghanistan,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Afghanistan,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,75 percent,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Osama bin Laden,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,day,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,"75,000",05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Twenty years ago,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,El Salvador,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Afghanistan,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,terrorism,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,four years ago,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,a decade,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,$ 200 billion,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,point blank,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,United States of America,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,United Nations,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,90 percent,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,John Kerry,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Iraq,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,90 percent,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Iraq,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,John Kerry,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,50 percent,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Iraq,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,$ 120 billion,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,90 percent,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Iraq,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,30-year,05 Oct 2004
30_2004,Gwen Ifill,PERSON,2004.0,November,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,commander,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Kuwait,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,John Edwards,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,John Kerry,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,1984,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,' 91,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,Howard Dean,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,patriotism,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Saddam Hussein,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,John Kerry,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,80,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,$ 7.5 billion,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,John Kerry,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,George Bush,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,John Kerry,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Saddam Hussein,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,9/11,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,Saddam Hussein,05 Oct 2004
30_2004,Gwen Ifill,PERSON,2004.0,German,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,Kerry,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,John Kerry,05 Oct 2004
,Gwen Ifill,NATIONALITY,2004.0,Iraq,05 Oct 2004
,Gwen Ifill,NATIONALITY,2004.0,French,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,Right now,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,Iraq,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,35,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Iraq,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Iraqis,05 Oct 2004
,Johnny(John) R. Edwards,LOCATION,2004.0,Cleveland,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,"40,000",05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Prime Minister,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,House,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,recently,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,John Kerry,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Ninety percent,05 Oct 2004
30_2004,Gwen Ifill,PERSON,2004.0,the future,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Al Qaida,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,9/11,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Department of Homeland Security,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,day,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,9/11,05 Oct 2004
,Johnny(John) R. Edwards,ORGANIZATION,2004.0,Commission,05 Oct 2004
,Johnny(John) R. Edwards,NATIONALITY,2004.0,Saddam Hussein,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,spokesman,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Zarqawi,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Saddam,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,the years,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Afghanistan,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Baghdad,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,ph,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,beheading,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Zarqawi,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,9/11,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Khurmal,05 Oct 2004
,Gwen Ifill,ORGANIZATION,2004.0,CEO,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,Halliburton,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,U.S.,05 Oct 2004
,Gwen Ifill,LOCATION,2004.0,""" Axis of Evil",05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,five days,05 Oct 2004
30_2004,Richard(Dick) B. Cheney,PERSON,2004.0,Saddam Hussein,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,12 years,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,recently,05 Oct 2004
,Richard(Dick) B. Cheney,ORGANIZATION,2004.0,Iran,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,U.N. Security Council,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Iran,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Iraq,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,November,05 Oct 2004
,Richard(Dick) B. Cheney,LOCATION,2004.0,Libya,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,time,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,Germans,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,North Korea,05 Oct 2004
,Richard(Dick) B. Cheney,NATIONALITY,2004.0,Chinese,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Iraq,05 Oct 2004
30_2004,Johnny(John) R. Edwards,PERSON,2004.0,Enron,05 Oct 2004
