ID,TYPE,BEGIN,END,TEXT,Document,PartIndex,SentenceIndex
T1,Claim,2423,2545,"after 9/11, it became clear that we had to do several things to have a successful strategy to win the global war on terror",30_2004,1,3
T2,Claim,2547,2626,specifically that we had to go after the terrorists wherever we might find them,30_2004,1,3
T3,Claim,2628,2681,that we also had to go after state sponsors of terror,30_2004,1,3
T4,Claim,2748,2822,we also then finally had to stand up democracies in their stead afterwards,30_2004,1,4
T5,Premise,2832,2972,that was the only way to guarantee that these states would not again become safe harbors for terror or for the development of deadly weapons,30_2004,1,4
T6,Claim,4010,4038,The world is far safer today,30_2004,1,11
T7,Premise,4047,4110,"Saddam Hussein is in jail, his government is no longer in power",30_2004,1,11
T8,Claim,4116,4146,we did exactly the right thing,30_2004,1,12
T9,Claim,3861,3914,What we did in Iraq was exactly the right thing to do,30_2004,1,9
T10,Premise,3916,4008,"If I had it to recommend all over again, I would recommend exactly the same course of action",30_2004,1,10
T11,Claim,4797,4856,"The truth is, our men and women in uniform have been heroic",30_2004,3,6
T12,Claim,4858,4915,Our military has done everything they've been asked to do,30_2004,3,7
T13,Claim,4359,4436,"Mr. Vice President, you are still not being straight with the American people",30_2004,3,3
T14,Premise,4446,4605,"the reality you and George Bush continue to tell people, first, that things are going well in Iraq -- the American people don't need us to explain this to them",30_2004,3,4
T15,Premise,4607,4655,they see it on their television every single day,30_2004,3,4
T16,Premise,4657,4712,We lost more troops in September than we lost in August,30_2004,3,5
T17,Premise,4714,4754,lost more in August than we lost in July,30_2004,3,5
T18,Premise,4756,4794,lost more in July than we lost in June,30_2004,3,5
T19,Premise,4922,4965,it's not just me that sees the mess in Iraq,30_2004,3,8
T20,Claim,5616,5719,"We need a new president who has the credibility, which John Kerry has, to bring others into this effort",30_2004,3,17
T21,Claim,5536,5614,We need to speed up the reconstruction so the Iraqis see some tangible benefit,30_2004,3,16
T22,Claim,5436,5534,"We need a president who will speed up the training of the Iraqis, get more staff in for doing that",30_2004,3,15
T23,Claim,4967,5104,"There are Republican leaders, like John McCain, like Richard Lugar, like Chuck Hagel, who have said Iraq is a mess and it's getting worse",30_2004,3,9
T24,Premise,5136,5204,Richard Lugar said because of the incompetence of the administration,30_2004,3,10
T25,Premise,5212,5294,Paul Bremer said yesterday is they didn't have enough troops to secure the country,30_2004,3,11
T26,Premise,5296,5341,They also didn't have a plan to win the peace,30_2004,3,12
T27,Premise,5343,5410,They also didn't put the alliances together to make this successful,30_2004,3,13
T28,Premise,5413,5434,We need a fresh start,30_2004,3,14
T29,Claim,5791,5830,We've made significant progress in Iraq,30_2004,5,0
T30,Premise,5832,5901,We've stood up a new government that's been in power now only 90 days,30_2004,5,1
T31,Claim,6448,6470,we'll get the job done,30_2004,5,8
T32,Claim,5967,6067,the point of success in Iraq will be reached when we have turned governance over to the Iraqi people,30_2004,5,2
T33,Claim,6168,6240,They will have free elections next January for the first time in history,30_2004,5,4
T34,Claim,6242,6326,"We also are actively, rapidly training Iraqis to take on the security responsibility",30_2004,5,5
T35,Claim,6329,6375,Those two steps are crucial to success in Iraq,30_2004,5,6
T36,Premise,6377,6413,"They're well in hand, well under way",30_2004,5,7
T37,Claim,6546,6625,there is no connection between the attacks of September 11th and Saddam Hussein,30_2004,7,1
T38,Claim,7020,7067,We need to be straight with the American people,30_2004,7,8
T39,Premise,6627,6658,The 9/11 Commission has said it,30_2004,7,2
T40,Premise,6660,6699,Your own secretary of state has said it,30_2004,7,3
T41,Claim,6705,6776,you've gone around the country suggesting that there is some connection,30_2004,7,4
T42,Claim,6778,6791,There is not.,30_2004,7,5
T43,Premise,6805,6910,the CIA is now about to report that the connection between Al Qaida and Saddam Hussein is tenuous at best,30_2004,7,6
T44,Premise,6926,7017,the secretary of defense said yesterday that he knows of no hard evidence of the connection,30_2004,7,7
T45,Claim,7505,7532,we voted for the resolution,30_2004,9,2
T46,Claim,7394,7446,It means that Saddam Hussein needed to be confronted,30_2004,9,0
T47,Premise,7448,7492,John Kerry and I have consistently said that,30_2004,9,1
T48,Claim,7552,7586,it needed to be done the right way,30_2004,9,3
T49,Premise,7592,7642,doing it the right way meant that we were prepared,30_2004,9,4
T50,Premise,7644,7769,"that we gave the weapons inspectors time to find out what we now know, that in fact there were no weapons of mass destruction",30_2004,9,4
T51,Premise,7771,7898,"that we didn't take our eye off the ball, which are Al Qaida, Osama bin Laden, the people who attacked us on September the 11th",30_2004,9,4
T52,Premise,7915,7939,we went into Afghanistan,30_2004,9,5
T53,Claim,7964,7985,the right thing to do,30_2004,9,5
T54,Premise,7987,8014,That was the right decision,30_2004,9,6
T55,Claim,8020,8061,our military performed terrifically there,30_2004,9,7
T56,Claim,8982,9071,there is no connection between Saddam Hussein and the attacks of September 11th -- period,30_2004,9,19
T57,Premise,8235,8249,what did we do,30_2004,9,11
T58,Claim,8068,8112,we had Osama bin Laden cornered at Tora Bora,30_2004,9,8
T59,Claim,8114,8174,We had the 10th Mountain Division up in Uzbekistan available,30_2004,9,9
T60,Claim,8176,8229,We had the finest military in the world on the ground,30_2004,9,10
T61,Claim,8252,8363,We turned -- this is the man who masterminded the greatest mass murder and terrorist attack in American history,30_2004,9,12
T62,Premise,8369,8409,what did the administration decide to do,30_2004,9,13
T63,Claim,8412,8475,They gave the responsibility of capturing and/or killing Saddam,30_2004,9,14
T64,Claim,8629,8677,We were attacked by Al Qaida and Osama bin Laden,30_2004,9,15
T65,Claim,8680,8837,We went into Afghanistan and very quickly the administration made a decision to divert attention from that and instead began to plan for the invasion of Iraq,30_2004,9,16
T66,Premise,9074,9114,The 9/11 Commission has said that's true,30_2004,9,20
T67,Premise,9116,9147,Colin Powell has said it's true,30_2004,9,21
T68,Claim,9153,9202,the vice president keeps suggesting that there is,30_2004,9,22
T69,Claim,9204,9216,There is not,30_2004,9,23
T70,Claim,9232,9279,any connection with Al Qaida is tenuous at best,30_2004,9,24
T71,Claim,9388,9451,I have not suggested there's a connection between Iraq and 9/11,30_2004,11,1
T72,Claim,9457,9518,there's clearly an established Iraqi track record with terror,30_2004,11,1
T73,Premise,9351,9386,The senator has got his facts wrong,30_2004,11,0
T74,Claim,9804,9865,they are not prepared to deal with states that sponsor terror,30_2004,11,3
T75,Premise,9654,9735,the deadly technologies that Saddam Hussein had developed and used over the years,30_2004,11,2
T76,Premise,9957,10121,We heard Senator Kerry say the other night that there ought to be some kind of global test before U.S. troops are deployed preemptively to protect the United States,30_2004,11,5
T77,Claim,9867,9954,They've got a very limited view about how to use U.S. military forces to defend America,30_2004,11,4
T78,Premise,10230,10281,troops should not be deployed without U.N. approval,30_2004,11,6
T79,Premise,10289,10371,"in the mid-'80s, he ran on the basis of cutting most of our major defense programs",30_2004,11,7
T80,Premise,10373,10411,"In 1991, he voted against Desert Storm",30_2004,11,8
T81,Claim,10414,10501,It's a consistent pattern over time of always being on the wrong side of defense issues,30_2004,11,9
T82,Claim,10844,10966,that will defeat our enemies and will guarantee that the United States doesn't again get attacked by the likes of Al Qaida,30_2004,11,11
T83,Claim,10674,10842,"they give absolutely no indication, based on that record, of being wiling to go forward and aggressively pursue the war on terror with a kind of strategy that will work",30_2004,11,11
T84,Claim,11111,11213,We believe that Osama bin Laden is hiding perhaps in a cave somewhere along the Afghan-Pakistan border,30_2004,12,2
T85,Premise,11216,11337,"If you get a second term, what is your plan to capture him and then to neutralize those who have sprung up to replace him",30_2004,12,3
T86,Claim,13327,13365,Freedom is the best antidote to terror,30_2004,13,23
T87,Claim,11407,11450,We've actively and aggressively pursued him,30_2004,13,1
T88,Claim,11452,11563,We've captured or killed thousands of Al Qaida in various places around the world and especially in Afghanistan,30_2004,13,2
T89,Claim,11355,11405,we've never let up on Osama bin Laden from day one,30_2004,13,0
T90,Claim,11565,11611,We'll continue to very aggressively pursue him,30_2004,13,3
T91,Claim,11617,11655,I'm confident eventually we'll get him,30_2004,13,3
T92,Claim,11657,11744,"The key to success in Afghanistan has been, again, to go in and go after the terrorists",30_2004,13,4
T93,Premise,11752,11762,we've done,30_2004,13,4
T94,Premise,11768,11858,"also take down the Taliban regime which allowed them to function there, in effect sponsors",30_2004,13,4
T95,Premise,11860,11901,"if you will, of the Al Qaida organization",30_2004,13,4
T96,Claim,12304,12405,That election will put in place a democratically elected government that will take over next December,30_2004,13,8
